date,front_price,vix_spot,vix_basis,total_oi,rolling_oi,ts_slope,ts_spread,log_ts
2012-11-16,16.75,16.41,0.33999999999999986,384448.0,296565.9297520661,0.3761194029850747,6.300000000000001,0.31926751117158214
2012-11-23,16.1,15.14,0.9600000000000009,382639.0,301289.5560165975,0.38198757763975144,6.149999999999999,0.32352273662183184
2012-11-30,15.55,15.87,-0.3199999999999985,385333.0,306006.45643153525,0.4083601286173632,6.349999999999998,0.3424259981972119
2012-12-07,16.0,15.9,0.09999999999999964,395593.0,310990.26970954356,0.35624999999999996,5.699999999999999,0.3047235383066326
2012-12-14,16.85,17.0,-0.14999999999999858,405186.0,315937.03719008266,0.2997032640949553,5.049999999999997,0.2621359800240842
2012-12-21,18.25,17.84,0.41000000000000014,340846.0,320141.9300411523,0.24109589041095883,4.399999999999999,0.21599477190054242
2012-12-28,22.35,22.72,-0.36999999999999744,319922.0,324052.9338842975,0.05816554809843388,1.2999999999999972,0.05653679387836392
2013-01-04,15.3,13.83,1.4700000000000006,371670.0,327452.62396694213,0.38235294117647045,5.849999999999998,0.32378707709389704
2013-01-11,14.15,13.36,0.7900000000000009,449816.0,333130.62809917354,0.4487632508833922,6.35,0.37071026205511576
2013-01-18,14.65,12.46,2.1899999999999995,425822.0,338676.4380165289,0.3515358361774744,5.15,0.3012416022374133
2013-01-25,14.1,12.89,1.209999999999999,415304.0,343130.28215767635,0.3297872340425532,4.65,0.2850189550322972
2013-02-01,14.3,12.9,1.4000000000000004,434347.0,347713.6473029046,0.3286713286713286,4.699999999999999,0.28417944190057876
2013-02-08,13.8,13.02,0.7800000000000011,440775.0,351927.86363636365,0.3478260869565218,4.800000000000001,0.29849298855599654
2013-02-15,14.5,12.46,2.039999999999999,418774.0,355930.7727272727,0.31379310344827593,4.550000000000001,0.2729184521461813
2013-02-22,14.85,14.17,0.6799999999999997,415656.0,358815.8755186722,0.27609427609427606,4.1,0.24380406627972678
2013-03-01,16.4,15.36,1.0399999999999991,400118.0,361150.6804979253,0.16158536585365868,2.650000000000002,0.14978576674255745
2013-03-08,13.8,12.59,1.2100000000000009,426001.0,362682.76763485477,0.32246376811594196,4.449999999999999,0.2794964878653414
2013-03-15,12.55,11.3,1.25,479448.0,365883.0041493776,0.4661354581673305,5.849999999999998,0.3826299990371469
2013-03-22,14.8,13.57,1.2300000000000004,412781.0,368604.48132780084,0.2972972972972972,4.399999999999999,0.26028309826366636
2013-03-29,14.2,12.7,1.5,403771.0,369856.21074380167,0.3309859154929577,4.699999999999999,0.28591995745838167
2013-04-05,14.35,13.92,0.4299999999999997,427920.0,371940.8755186722,0.32404181184668995,4.65,0.2806890369608103
2013-04-12,12.75,12.06,0.6899999999999995,459248.0,374933.20331950206,0.415686274509804,5.300000000000001,0.34761441317445485
2013-04-19,15.95,14.97,0.9799999999999986,380518.0,376938.65560165973,0.219435736677116,3.5,0.19838824083360174
