date,Logic Gate,Buy-and-Hold,MA Trend,Model_A_d5bps,Model_A_d10bps,Model_A_d20bps,Model_B_d5bps,Model_B_d10bps,Model_B_d20bps,Model_C_d5bps,Model_C_d10bps,Model_C_d20bps
2006-12-08,0.0,0.000887311446,-0.000887311446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-11,0.0,0.003191489362,-0.003191489362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-12,-0.0,-0.001237186285,0.001237186285,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-12-13,0.0,0.001061758981,-0.001061758981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-14,0.0,0.008308290613,-0.008308290613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-15,0.0,0.001921458626,-0.001921458626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-18,-0.0,-0.00243351295,0.00243351295,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-12-19,0.0,0.001045478306,-0.001045478306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-20,-0.0,-0.000696257615,0.000696257615,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-12-21,-0.0,-0.003832085003,0.003832085003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-12-22,-0.0,-0.006644518272,0.006644518272,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-12-26,0.0,0.00598486182,-0.00598486182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-27,0.0,0.005774278215,-0.005774278215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-28,-0.0,-0.002261656228,0.002261656228,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-12-29,-0.0,-0.003661726242,0.003661726242,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-01-09,-0.0,-0.001405975395,0.001405975395,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-01-10,0.0,0.002815909891,-0.002815909891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-11,0.0,0.004563004563,-0.004563004563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-12,0.0,0.006813417191,-0.006813417191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-16,-0.0,-0.001388165886,0.001388165886,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-01-17,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-18,-0.0,-0.003822762815,0.003822762815,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-01-19,0.0,0.002442002442,-0.002442002442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-22,-0.0,-0.004002088046,0.004002088046,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-01-23,0.0,0.003144654088,-0.003144654088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-24,0.0,0.007488679902,-0.007488679902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-25,-0.0,-0.011754537597,0.011754537597,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-01-26,-0.0,-0.001224418401,0.001224418401,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-01-29,-0.0,-0.000875656743,0.000875656743,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-01-30,0.0,0.005433829974,-0.005433829974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.006276150628,-0.006276150628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.005370755371,-0.005370755371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-02,0.0,0.001550921937,-0.001550921937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-05,0.0,0.000516173434,-0.000516173434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-06,-0.0,-0.000343938091,0.000343938091,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-07,0.0,0.001720282126,-0.001720282126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-08,-0.0,-0.001202129487,0.001202129487,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-09,-0.0,-0.007565337001,0.007565337001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-12,-0.0,-0.003465003465,0.003465003465,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-13,0.0,0.007997218359,-0.007997218359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-14,0.0,0.006209037599,-0.006209037599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-15,0.0,0.000685635927,-0.000685635927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-16,-0.0,-0.000342583076,0.000342583076,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-20,0.0,0.001884852639,-0.001884852639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-21,-0.0,-0.000855139388,0.000855139388,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-22,-0.0,-0.000855871277,0.000855871277,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-23,-0.0,-0.003769059448,0.003769059448,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-26,-0.0,-0.000859845228,0.000859845228,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-27,-0.0,-0.039414802065,0.039414802065,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-02-28,0.0,0.00985486472,-0.00985486472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,-0.0,-0.002838892832,0.002838892832,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-03-02,-0.0,-0.013701067616,0.013701067616,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-03-05,-0.0,-0.009742016958,0.009742016958,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-03-06,0.0,0.016942976863,-0.016942976863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-07,-0.0,-0.001612325331,0.001612325331,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-03-08,0.0,0.008254082182,-0.008254082182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-09,0.0,0.00017796761,-0.00017796761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-12,0.0,0.001423487544,-0.001423487544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-13,-0.0,-0.019367448472,0.019367448472,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-03-14,0.0,0.007066497554,-0.007066497554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-15,0.0,0.001439366679,-0.001439366679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-16,0.0,0.003320158103,-0.003320158103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-19,0.0,0.011972837741,-0.011972837741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-20,0.0,0.00547413032,-0.00547413032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-21,0.0,0.015103617843,-0.015103617843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-23,0.0,0.001384083045,-0.001384083045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-26,-0.0,-0.001209398756,0.001209398756,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-03-27,-0.0,-0.003286628611,0.003286628611,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-03-28,-0.0,-0.007636237418,0.007636237418,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-03-29,0.0,0.001399090591,-0.001399090591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,-0.0,-0.000174641984,0.000174641984,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-04-02,0.0,0.001397379913,-0.001397379913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-03,0.0,0.009768009768,-0.009768009768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-04,0.0,0.000863707031,-0.000863707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-05,0.0,0.002934069727,-0.002934069727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-09,0.0,0.001204611943,-0.001204611943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-10,0.0,0.001031282228,-0.001031282228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-11,-0.0,-0.005151098901,0.005151098901,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-04-12,0.0,0.004832585433,-0.004832585433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-13,0.0,0.003950532463,-0.003950532463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-16,0.0,0.009751924722,-0.009751924722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-17,0.0,0.002372077262,-0.002372077262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-18,0.0,0.000845165652,-0.0013451656520000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-20,0.0,0.008613409897,0.008613409897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-23,-0.0,-0.003181513731,-0.003181513731,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2007-04-24,0.0,0.00016798253,0.00016798253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-25,0.0,0.008229761505,0.008229761505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
